Benchmark,x40
exe_time,419.734375
CYCLE_VAL,81
tracectr,17700050
mem_clk,51
invokectr,16700000
oramctr,0
dummyctr,0
pos1_access,309
pos2_access,47
plb_hit0,0.000000%
plb_hit1,99.995850%
plb_hit2,86.053412%
plb_hit0,0
plb_hit1,8119630
plb_hit2,290
plbaccess0,8119967
plbaccess1,8119967
plbaccess2,337
oramQ_size,0
Bk_Evict,100.000000%
Bk_Evict,54
Cache_Hit,100.000000%
Cache Evict,-nan%
rho_hit,0.000000%
rhoctr,0
rho_dummyctr,0
rho_bkctr,-nan%
earlyctr,0
dirty_pointctr,0
cache_dirty,0
ptr_fail,0
search_fail,0
pinctr,0
unpinctr,0
precase,0
sttctr,0
stash_leftover,0
stash_removed,0
fillhit,0
fillmiss,0
topctr,99.484836%
midctr,0.482247%
botctr,0.032917%
ring_evictctr,1624064
stashctr,3
stash_cont,0
linger_discard,0
shuffctr,3774702
ringctr,8120323
wbctr,7832243
writectr,22145111
wskip,0
mem_req_late,0.000000
nonmemops_sum,0
missl1wb,17
missl1wb_rate,inf%
wbshuff,51
ringdumctr,0
wl_pos1,0
wl_pos2,0
stalectr,0
stale_flush_ctr,0
stale_discard_ctr,0
stale_reduction,0
glctr[0],0.000000%
glctr[1],0.000000%
glctr[2],0.000000%
STALE_BUF,300
STALE_CAP,56
deadctr,25547450
dead_on_path,30
nonleaf_r_norm,199588936
leaf_r_norm,15178691
nonleaf_w_norm,278834568
leaf_w_norm,19488912
nonleaf_r_remote,0
leaf_r_remote,0
nonleaf_r_inplace,0
leaf_r_inplace,0
nonleaf_w_inplace,0
nonleaf_w_inplace_remembered,0
nonleaf_w_remote,0
leaf_w_inplace,0
leaf_w_remote,0
deadQ-size,0
remote_located_leaves,29
shuff_tc+,2123394
shuff[0],0
shuff[1],79481
shuff[2],152621
shuff[3],182787
shuff[4],196826
shuff[5],203490
shuff[6],207460
shuff[7],208984
shuff[8],209650
shuff[9],210009
shuff[10],210737
shuff[11],209992
shuff[12],209737
shuff[13],209691
shuff[14],211058
shuff[15],209470
shuff[16],212731
shuff[17],204260
shuff[18],195972
shuff[19],152584
shuff[20],86661
shuff[21],10072
shuff[22],417
shuff[23],12
nonleaf_elselevel,0
leaf_elselevel,0
remote_located_nonleaves,0
surplus_dead,0
surplus_in_use,0
rmiss,50
wmiss,0
deadrem,0
lifetime_min[0],1
lifetime_min[1],1
lifetime_min[2],1
lifetime_min[3],1
lifetime_min[4],1
lifetime_min[5],1
lifetime_min[6],1
lifetime_min[7],1
lifetime_min[8],1
lifetime_min[9],1
lifetime_min[10],1
lifetime_min[11],1
lifetime_min[12],1
lifetime_min[13],1
lifetime_min[14],1
lifetime_min[15],1
lifetime_min[16],1
lifetime_min[17],1
lifetime_min[18],1
lifetime_min[19],1
lifetime_min[20],1
lifetime_min[21],1
lifetime_min[22],3
lifetime_min[23],3
lifetime_max[0],29
lifetime_max[1],9
lifetime_max[2],30
lifetime_max[3],39
lifetime_max[4],79
lifetime_max[5],159
lifetime_max[6],30
lifetime_max[7],0
lifetime_max[8],2245
lifetime_max[9],4688
lifetime_max[10],7415
lifetime_max[11],17633
lifetime_max[12],38085
lifetime_max[13],78924
lifetime_max[14],149789
lifetime_max[15],283832
lifetime_max[16],447742
lifetime_max[17],775422
lifetime_max[18],2033954
lifetime_max[19],4799999
lifetime_max[20],6835715
lifetime_max[21],6835715
lifetime_max[22],6835715
lifetime_max[23],6835715
lifetime_avg[0],2.903329
lifetime_avg[1],5.856708
lifetime_avg[2],11.718636
lifetime_avg[3],23.298015
lifetime_avg[4],46.672214
lifetime_avg[5],92.491818
lifetime_avg[6],185.614802
lifetime_avg[7],371.119055
lifetime_avg[8],746.230406
lifetime_avg[9],1490.965609
lifetime_avg[10],2984.895339
lifetime_avg[11],5946.955435
lifetime_avg[12],11907.120491
lifetime_avg[13],23731.463651
lifetime_avg[14],47513.411764
lifetime_avg[15],95116.806829
lifetime_avg[16],190941.994508
lifetime_avg[17],382508.780709
lifetime_avg[18],808012.837676
lifetime_avg[19],1436674.841939
lifetime_avg[20],2886962.710834
lifetime_avg[21],2925938.103719
lifetime_avg[22],2889539.641712
lifetime_avg[23],2870895.106576
